num_particles,electrons,jets,muons
0,43787130,12339630,457172
1,8089663,8851348,37759045
2,1356763,8502356,11135841
3,187612,6798178,2802423
4,22373,4720063,822306
5,2394,3125511,278407
6,234,2118664,105747
7,26,1498375,44153
8,2,1110881,20152
9,1,849518,9824
10,,666943,5062
11,,531823,2593
12,,429375,1434
13,,348945,780
14,,284279,480
15,,234794,302
16,,192159,167
17,,157856,89
18,,131193,56
19,,107305,54
20,,88182,33
21,,72324,12
22,,58735,15
23,,47930,8
24,,38875,12
25,,30893,3
26,,24749,5
27,,19569,2
28,,15344,3
29,,12065,4
30,,9391,3
31,,7356,1
32,,5562,1
33,,4238,2
34,,3085,1
35,,2366,
36,,1798,1
37,,1272,1
38,,966,1
39,,687,
40,,471,
41,,325,
42,,226,
43,,171,1
44,,132,
45,,94,
46,,53,
47,,55,
48,,24,
49,,29,
50,,12,
51,,12,
52,,5,
53,,1,
54,,1,
55,,2,
56,,1,
57,,1,
84,,,1
109,,,1
